Time,UTC TIME,anum,fnum,height,speed,angle,longitude,latitude
1595387520,2020-07-22 03:12:00,B2086,CCA1315,632.46,335.212,353,40.11314,116.59052
1595387532,2020-07-22 03:12:12,B2086,CCA1315,746.76,335.212,354,40.11835,116.58972
1595387536,2020-07-22 03:12:16,B2086,CCA1315,822.96,335.212,354,40.11835,116.58972
1595387541,2020-07-22 03:12:21,B2086,CCA1315,868.68,335.212,354,40.11835,116.58972
1595387545,2020-07-22 03:12:25,B2086,CCA1315,929.64,335.212,354,40.1338,116.5876
1595387550,2020-07-22 03:12:30,B2086,CCA1315,982.98,335.212,354,40.1338,116.5876
1595387556,2020-07-22 03:12:36,B2086,CCA1315,1059.18,335.212,354,40.1338,116.5876
1595387560,2020-07-22 03:12:40,B2086,CCA1315,1089.66,335.212,354,40.14693,116.58582
1595387565,2020-07-22 03:12:45,B2086,CCA1315,1135.38,335.212,354,40.14693,116.58582
1595387570,2020-07-22 03:12:50,B2086,CCA1315,1158.24,335.212,354,40.14693,116.58582
1595387575,2020-07-22 03:12:55,B2086,CCA1315,1181.1,335.212,354,40.161159999999995,116.58362
1595387586,2020-07-22 03:13:06,B2086,CCA1315,1226.82,411.144,355,40.161159999999995,116.58362
1595387590,2020-07-22 03:13:10,B2086,CCA1315,1257.3,416.7,355,40.17627,116.5816
1595387606,2020-07-22 03:13:26,B2086,CCA1315,1333.5,468.556,354,40.181329999999996,116.58098000000001
1595387610,2020-07-22 03:13:30,B2086,CCA1315,1379.22,468.556,354,40.181329999999996,116.58098000000001
1595387616,2020-07-22 03:13:36,B2086,CCA1315,1402.08,468.556,354,40.205020000000005,116.57763999999999
1595387620,2020-07-22 03:13:40,B2086,CCA1315,1447.8,468.556,354,40.205020000000005,116.57763999999999
1595387626,2020-07-22 03:13:46,B2086,CCA1315,1463.04,513.004,354,40.205020000000005,116.57763999999999
1595387631,2020-07-22 03:13:51,B2086,CCA1315,1562.1,516.7080000000001,354,40.22031,116.57543999999999
1595387636,2020-07-22 03:13:56,B2086,CCA1315,1661.16,516.7080000000001,354,40.22031,116.57543999999999
1595387640,2020-07-22 03:14:00,B2086,CCA1315,1706.88,516.7080000000001,354,40.22031,116.57543999999999
1595387646,2020-07-22 03:14:06,B2086,CCA1315,1783.08,516.7080000000001,354,40.22031,116.57543999999999
1595387652,2020-07-22 03:14:12,B2086,CCA1315,1851.66,529.672,339,40.22031,116.57543999999999
1595387659,2020-07-22 03:14:19,B2086,CCA1315,1973.58,533.376,330,40.22031,116.57543999999999
1595387672,2020-07-22 03:14:32,B2086,CCA1315,2118.36,537.08,322,40.27299,116.54596000000001
1595387687,2020-07-22 03:14:47,B2086,CCA1315,2293.62,540.784,284,40.27299,116.54596000000001
1595387700,2020-07-22 03:15:00,B2086,CCA1315,2407.92,540.784,284,40.28137,116.51477
1595387715,2020-07-22 03:15:15,B2086,CCA1315,2583.18,540.784,284,40.279509999999995,116.49428
1595387726,2020-07-22 03:15:26,B2086,CCA1315,2766.06,518.56,238,40.26894,116.46887
1595387731,2020-07-22 03:15:31,B2086,CCA1315,2827.02,524.116,238,40.26894,116.46887
1595387736,2020-07-22 03:15:36,B2086,CCA1315,2880.36,529.672,238,40.26894,116.46887
1595387747,2020-07-22 03:15:47,B2086,CCA1315,2994.66,533.376,238,40.25595,116.44221999999999
1595387752,2020-07-22 03:15:52,B2086,CCA1315,3093.72,537.08,237,40.25595,116.44221999999999
1595387758,2020-07-22 03:15:58,B2086,CCA1315,3108.96,538.932,237,40.25595,116.44221999999999
1595387762,2020-07-22 03:16:02,B2086,CCA1315,3200.4,538.932,237,40.25595,116.44221999999999
1595387768,2020-07-22 03:16:08,B2086,CCA1315,3208.02,538.932,237,40.25595,116.44221999999999
1595387783,2020-07-22 03:16:23,B2086,CCA1315,3299.46,538.932,237,40.22318,116.3758
1595387787,2020-07-22 03:16:27,B2086,CCA1315,3329.94,538.932,237,40.22318,116.3758
1595387793,2020-07-22 03:16:33,B2086,CCA1315,3352.8,538.932,237,40.22318,116.3758
1595387809,2020-07-22 03:16:49,B2086,CCA1315,3566.16,618.568,237,40.20512,116.33928
1595387813,2020-07-22 03:16:53,B2086,CCA1315,3642.36,618.568,237,40.20512,116.33928
1595387818,2020-07-22 03:16:58,B2086,CCA1315,3764.28,622.2719999999999,236,40.20512,116.33928
1595387834,2020-07-22 03:17:14,B2086,CCA1315,3855.72,627.828,237,40.18627,116.30127
1595387838,2020-07-22 03:17:18,B2086,CCA1315,3992.88,627.828,237,40.18627,116.30127
1595387843,2020-07-22 03:17:23,B2086,CCA1315,4053.84,627.828,237,40.18627,116.30127
1595387859,2020-07-22 03:17:39,B2086,CCA1315,4213.86,627.828,237,40.1757,116.27973
1595387863,2020-07-22 03:17:43,B2086,CCA1315,4244.34,627.828,237,40.1757,116.27973
1595387868,2020-07-22 03:17:48,B2086,CCA1315,4320.54,627.828,237,40.1757,116.27973
1595387870,2020-07-22 03:17:50,B2086,CCA1315,4343.4,627.828,237,40.1757,116.27973
1595387876,2020-07-22 03:17:56,B2086,CCA1315,4511.04,651.904,238,40.1757,116.27973
1595387881,2020-07-22 03:18:01,B2086,CCA1315,4572.0,651.904,238,40.14069,116.20845
1595387888,2020-07-22 03:18:08,B2086,CCA1315,4671.06,653.756,238,40.14069,116.20845
1595387902,2020-07-22 03:18:22,B2086,CCA1315,4831.08,661.164,238,40.125609999999995,116.17766999999999
1595387913,2020-07-22 03:18:33,B2086,CCA1315,4975.86,661.164,238,40.1152,116.15643
1595387924,2020-07-22 03:18:44,B2086,CCA1315,5128.26,664.868,238,40.10014,116.12598
1595387937,2020-07-22 03:18:57,B2086,CCA1315,5219.7,674.128,238,40.08865,116.10288999999999
1595387948,2020-07-22 03:19:08,B2086,CCA1315,5273.04,674.128,238,40.080220000000004,116.08591000000001
1595387965,2020-07-22 03:19:25,B2086,CCA1315,5349.24,737.096,238,40.07049,116.06618999999999
1595387968,2020-07-22 03:19:28,B2086,CCA1315,5379.72,738.948,238,40.07049,116.06618999999999
1595387974,2020-07-22 03:19:34,B2086,CCA1315,5417.82,750.06,238,40.07049,116.06618999999999
1595387988,2020-07-22 03:19:48,B2086,CCA1315,5554.98,761.172,238,40.03606,115.99658000000001
1595387993,2020-07-22 03:19:53,B2086,CCA1315,5600.7,761.172,238,40.032579999999996,115.9895
1595388004,2020-07-22 03:20:04,B2086,CCA1315,5707.38,770.432,238,40.02682,115.97786
1595388008,2020-07-22 03:20:08,B2086,CCA1315,5791.2,770.432,238,40.02682,115.97786
1595388014,2020-07-22 03:20:14,B2086,CCA1315,5844.54,770.432,238,40.02682,115.97786
1595388016,2020-07-22 03:20:16,B2086,CCA1315,5867.4,775.988,238,40.02682,115.97786
1595388028,2020-07-22 03:20:28,B2086,CCA1315,5958.84,775.988,238,39.99508,115.91406
1595388039,2020-07-22 03:20:39,B2086,CCA1315,6004.56,777.84,238,39.9887,115.90127
1595388054,2020-07-22 03:20:54,B2086,CCA1315,6012.18,779.692,238,39.968540000000004,115.86084
1595388059,2020-07-22 03:20:59,B2086,CCA1315,6004.56,790.804,238,39.968540000000004,115.86084
1595388070,2020-07-22 03:21:10,B2086,CCA1315,6004.56,792.6560000000001,238,39.95225,115.82791999999999
1595388084,2020-07-22 03:21:24,B2086,CCA1315,6004.56,790.804,238,39.93645,115.79614
1595388095,2020-07-22 03:21:35,B2086,CCA1315,6004.56,785.248,237,39.92358,115.77056999999999
1595388109,2020-07-22 03:21:49,B2086,CCA1315,6004.56,785.248,237,39.90756,115.73863999999999
1595388114,2020-07-22 03:21:54,B2086,CCA1315,6004.56,785.248,237,39.90225,115.72807
1595388126,2020-07-22 03:22:06,B2086,CCA1315,6004.56,785.248,237,39.89351,115.71063000000001
1595388142,2020-07-22 03:22:22,B2086,CCA1315,6004.56,785.248,237,39.87369,115.67111000000001
1595388154,2020-07-22 03:22:34,B2086,CCA1315,6004.56,785.248,237,39.86985,115.66356999999999
1595388159,2020-07-22 03:22:39,B2086,CCA1315,6004.56,785.248,237,39.86985,115.66356999999999
1595388175,2020-07-22 03:22:55,B2086,CCA1315,6004.56,787.1,237,39.84643,115.61688000000001
1595388186,2020-07-22 03:23:06,B2086,CCA1315,6004.56,785.248,237,39.82567,115.57546
1595388191,2020-07-22 03:23:11,B2086,CCA1315,6004.56,787.1,237,39.82567,115.57546
1595388203,2020-07-22 03:23:23,B2086,CCA1315,6004.56,787.1,237,39.81622,115.5567
1595388219,2020-07-22 03:23:39,B2086,CCA1315,6004.56,787.1,237,39.80141,115.52727
1595388232,2020-07-22 03:23:52,B2086,CCA1315,6019.8,785.248,237,39.80141,115.52727
1595388238,2020-07-22 03:23:58,B2086,CCA1315,6050.28,790.804,238,39.80141,115.52727
1595388253,2020-07-22 03:24:13,B2086,CCA1315,6217.92,794.508,241,39.75622,115.43347
1595388264,2020-07-22 03:24:24,B2086,CCA1315,6385.56,794.508,242,39.74597,115.40916999999999
1595388269,2020-07-22 03:24:29,B2086,CCA1315,6416.04,798.212,243,39.74597,115.40916999999999
1595388274,2020-07-22 03:24:34,B2086,CCA1315,6469.38,798.212,243,39.74597,115.40916999999999
1595388279,2020-07-22 03:24:39,B2086,CCA1315,6507.48,798.212,243,39.74597,115.40916999999999
1595388293,2020-07-22 03:24:53,B2086,CCA1315,6675.12,809.324,243,39.72163,115.34783999999999
1595388304,2020-07-22 03:25:04,B2086,CCA1315,6827.52,809.324,243,39.70799,115.31335
1595388317,2020-07-22 03:25:17,B2086,CCA1315,6957.06,813.028,243,39.696529999999996,115.28443999999999
1595388324,2020-07-22 03:25:24,B2086,CCA1315,6957.06,814.88,243,39.696529999999996,115.28443999999999
1595388328,2020-07-22 03:25:28,B2086,CCA1315,7086.6,816.732,243,39.696529999999996,115.28443999999999
1595388334,2020-07-22 03:25:34,B2086,CCA1315,7155.18,816.732,243,39.696529999999996,115.28443999999999
