Time,UTC TIME,anum,fnum,height,speed,angle,longitude,latitude
1605837286,2020-11-20 01:54:46,B2031,CCA1803,190.5,294.468,353,40.08664,116.59515
1605837289,2020-11-20 01:54:49,B2031,CCA1803,243.84,294.468,353,40.08664,116.59515
1605837295,2020-11-20 01:54:55,B2031,CCA1803,335.28,296.32,353,40.08664,116.59515
1605837306,2020-11-20 01:55:06,B2031,CCA1803,533.4,294.468,353,40.10321,116.59229
1605837309,2020-11-20 01:55:09,B2031,CCA1803,579.12,294.468,353,40.10321,116.59229
1605837320,2020-11-20 01:55:20,B2031,CCA1803,731.52,294.468,353,40.10994,116.59106
1605837325,2020-11-20 01:55:25,B2031,CCA1803,792.48,294.468,353,40.10994,116.59106
1605837330,2020-11-20 01:55:30,B2031,CCA1803,845.82,298.172,352,40.10994,116.59106
1605837340,2020-11-20 01:55:40,B2031,CCA1803,967.74,303.728,352,40.10994,116.59106
1605837346,2020-11-20 01:55:46,B2031,CCA1803,1005.84,303.728,352,40.13155,116.58704
1605837349,2020-11-20 01:55:49,B2031,CCA1803,1043.94,329.656,353,40.13155,116.58704
1605837355,2020-11-20 01:55:55,B2031,CCA1803,1074.42,346.324,352,40.13155,116.58704
1605837359,2020-11-20 01:55:59,B2031,CCA1803,1112.52,346.324,352,40.13155,116.58704
1605837364,2020-11-20 01:56:04,B2031,CCA1803,1143.0,377.808,353,40.13155,116.58704
1605837370,2020-11-20 01:56:10,B2031,CCA1803,1196.34,377.808,353,40.13155,116.58704
1605837374,2020-11-20 01:56:14,B2031,CCA1803,1219.2,401.884,353,40.13155,116.58704
1605837379,2020-11-20 01:56:19,B2031,CCA1803,1272.54,405.588,353,40.13155,116.58704
1605837385,2020-11-20 01:56:25,B2031,CCA1803,1318.26,405.588,353,40.13155,116.58704
1605837390,2020-11-20 01:56:30,B2031,CCA1803,1341.12,438.924,353,40.13155,116.58704
1605837403,2020-11-20 01:56:43,B2031,CCA1803,1539.24,455.592,345,40.18492,116.57686
1605837410,2020-11-20 01:56:50,B2031,CCA1803,1600.2,455.592,345,40.18492,116.57686
1605837415,2020-11-20 01:56:55,B2031,CCA1803,1684.02,455.592,345,40.18492,116.57686
1605837420,2020-11-20 01:57:00,B2031,CCA1803,1744.98,455.592,345,40.18492,116.57686
