Time,UTC TIME,anum,fnum,height,speed,angle,longitude,latitude
1606566135,2020-11-28 12:22:15,B5933,CCA1883,-15.24,294.468,354,40.08013,116.61444
1606566141,2020-11-28 12:22:21,B5933,CCA1883,68.58,294.468,354,40.08013,116.61444
1606566144,2020-11-28 12:22:24,B5933,CCA1883,152.4,294.468,354,40.08911,116.61316
1606566155,2020-11-28 12:22:35,B5933,CCA1883,327.66,294.468,354,40.09209,116.61269
1606566159,2020-11-28 12:22:39,B5933,CCA1883,381.0,274.096,354,40.09209,116.61269
1606566163,2020-11-28 12:22:43,B5933,CCA1883,403.86,274.096,354,40.09209,116.61269
1606566179,2020-11-28 12:22:59,B5933,CCA1883,441.96,322.248,14,40.10931,116.61326
1606566190,2020-11-28 12:23:10,B5933,CCA1883,495.3,322.248,14,40.11836,116.6178
1606566206,2020-11-28 12:23:26,B5933,CCA1883,739.14,322.248,14,40.1359,116.63011
1606566219,2020-11-28 12:23:39,B5933,CCA1883,1036.32,322.248,14,40.14944,116.64056
1606566237,2020-11-28 12:23:57,B5933,CCA1883,1264.92,425.96,35,40.15283,116.64313
1606566238,2020-11-28 12:23:58,B5933,CCA1883,1272.54,425.96,35,40.16597,116.65692
1606566251,2020-11-28 12:24:11,B5933,CCA1883,1455.42,463.0,65,40.16671,116.65826
1606566253,2020-11-28 12:24:13,B5933,CCA1883,1501.14,463.0,65,40.16671,116.65826
1606566261,2020-11-28 12:24:21,B5933,CCA1883,1630.68,463.0,65,40.16671,116.65826
1606566265,2020-11-28 12:24:25,B5933,CCA1883,1699.26,463.0,65,40.16671,116.65826
1606566272,2020-11-28 12:24:32,B5933,CCA1883,1767.84,494.484,87,40.16671,116.65826
1606566276,2020-11-28 12:24:36,B5933,CCA1883,1813.56,501.892,87,40.16671,116.65826
1606566278,2020-11-28 12:24:38,B5933,CCA1883,1844.04,501.892,87,40.16671,116.65826
1606566286,2020-11-28 12:24:46,B5933,CCA1883,1889.76,501.892,87,40.17316,116.7298
1606566289,2020-11-28 12:24:49,B5933,CCA1883,1905.0,524.116,84,40.17316,116.7298
1606566296,2020-11-28 12:24:56,B5933,CCA1883,1920.24,524.116,84,40.17316,116.7298
1606566302,2020-11-28 12:25:02,B5933,CCA1883,1927.86,524.116,84,40.17316,116.7298
1606566317,2020-11-28 12:25:17,B5933,CCA1883,1935.48,522.264,82,40.17567,116.75867
1606566322,2020-11-28 12:25:22,B5933,CCA1883,1935.48,518.56,82,40.17567,116.75867
1606566328,2020-11-28 12:25:28,B5933,CCA1883,1935.48,516.708,82,40.17567,116.75867
1606566332,2020-11-28 12:25:32,B5933,CCA1883,1950.72,516.708,82,40.18045,116.80789
1606566343,2020-11-28 12:25:43,B5933,CCA1883,2026.92,516.708,82,40.18045,116.80789
1606566358,2020-11-28 12:25:58,B5933,CCA1883,2278.38,516.708,82,40.18045,116.80789
1606566371,2020-11-28 12:26:11,B5933,CCA1883,2522.22,513.004,63,40.18045,116.80789
