Time,UTC TIME,anum,fnum,height,speed,angle,longitude,latitude
1595028432,2020-07-17 23:27:12,B1428,CCA1369,327.66,318.544,353,40.0817,116.59601
1595028441,2020-07-17 23:27:21,B1428,CCA1369,327.66,318.544,351,40.0817,116.59601
1595028447,2020-07-17 23:27:27,B1428,CCA1369,502.92,318.544,351,40.09671,116.59296
1595028462,2020-07-17 23:27:42,B1428,CCA1369,655.32,333.36,353,40.10674,116.59094
1595028477,2020-07-17 23:27:57,B1428,CCA1369,845.82,338.916,353,40.12342,116.5881
1595028482,2020-07-17 23:28:02,B1428,CCA1369,906.78,340.768,353,40.12342,116.5881
1595028496,2020-07-17 23:28:16,B1428,CCA1369,1043.94,346.324,353,40.13342,116.5863
1595028507,2020-07-17 23:28:27,B1428,CCA1369,1150.62,357.436,352,40.13342,116.5863
1595028521,2020-07-17 23:28:41,B1428,CCA1369,1203.96,403.736,353,40.13342,116.5863
1595028531,2020-07-17 23:28:51,B1428,CCA1369,1272.54,429.664,353,40.17535,116.57867
1595028542,2020-07-17 23:29:02,B1428,CCA1369,1318.26,453.74,353,40.18547,116.57684
1595028552,2020-07-17 23:29:12,B1428,CCA1369,1386.84,487.076,353,40.18547,116.57684
1595028561,2020-07-17 23:29:21,B1428,CCA1369,1485.9,500.04,353,40.18547,116.57684
1595028566,2020-07-17 23:29:26,B1428,CCA1369,1531.62,514.856,353,40.2149,116.57147
1595028581,2020-07-17 23:29:41,B1428,CCA1369,1752.6,514.856,353,40.23322,116.56757
1595028602,2020-07-17 23:30:02,B1428,CCA1369,2042.16,513.004,313,40.2475,116.55945
1595028616,2020-07-17 23:30:16,B1428,CCA1369,2194.56,505.596,284,40.26508,116.5293
1595028631,2020-07-17 23:30:31,B1428,CCA1369,2453.64,501.892,268,40.26699,116.51488
1595028638,2020-07-17 23:30:38,B1428,CCA1369,2506.98,501.892,268,40.26699,116.51488
1595028642,2020-07-17 23:30:42,B1428,CCA1369,2590.8,501.892,268,40.26699,116.51488
1595028647,2020-07-17 23:30:47,B1428,CCA1369,2689.86,501.892,268,40.26699,116.51488
1595028653,2020-07-17 23:30:53,B1428,CCA1369,2788.92,501.892,268,40.26429,116.46563
1595028658,2020-07-17 23:30:58,B1428,CCA1369,2849.88,501.892,268,40.26429,116.46563
1595028664,2020-07-17 23:31:04,B1428,CCA1369,2941.32,501.892,268,40.26429,116.46563
1595028668,2020-07-17 23:31:08,B1428,CCA1369,2987.04,501.892,268,40.26429,116.46563
1595028674,2020-07-17 23:31:14,B1428,CCA1369,3040.38,501.892,268,40.26429,116.46563
1595028679,2020-07-17 23:31:19,B1428,CCA1369,3108.96,501.892,268,40.26429,116.46563
1595028683,2020-07-17 23:31:23,B1428,CCA1369,3185.16,501.892,268,40.25991,116.42018
1595028695,2020-07-17 23:31:35,B1428,CCA1369,3230.88,524.116,262,40.25805,116.40233
1595028706,2020-07-17 23:31:46,B1428,CCA1369,3299.46,575.972,262,40.25716,116.39313
1595028709,2020-07-17 23:31:49,B1428,CCA1369,3329.94,575.972,262,40.25468,116.36761
1595028715,2020-07-17 23:31:55,B1428,CCA1369,3345.18,583.38,262,40.25468,116.36761
1595028720,2020-07-17 23:32:00,B1428,CCA1369,3360.42,600.048,262,40.25468,116.36761
1595028725,2020-07-17 23:32:05,B1428,CCA1369,3390.9,600.048,262,40.25468,116.36761
1595028731,2020-07-17 23:32:11,B1428,CCA1369,3429.0,609.308,262,40.25468,116.36761
1595028735,2020-07-17 23:32:15,B1428,CCA1369,3436.62,609.308,262,40.25468,116.36761
1595028740,2020-07-17 23:32:20,B1428,CCA1369,3482.34,629.68,262,40.25468,116.36761
1595028745,2020-07-17 23:32:25,B1428,CCA1369,3528.06,629.68,262,40.25468,116.36761
1595028750,2020-07-17 23:32:30,B1428,CCA1369,3558.54,648.2,263,40.25468,116.36761
1595028755,2020-07-17 23:32:35,B1428,CCA1369,3573.78,655.608,263,40.25468,116.36761
1595028759,2020-07-17 23:32:39,B1428,CCA1369,3657.6,659.312,263,40.25468,116.36761
1595028765,2020-07-17 23:32:45,B1428,CCA1369,3764.28,659.312,263,40.25468,116.36761
1595028774,2020-07-17 23:32:54,B1428,CCA1369,3886.2,659.312,263,40.24118,116.23132
1595028780,2020-07-17 23:33:00,B1428,CCA1369,3947.16,675.98,257,40.24118,116.23132
1595028795,2020-07-17 23:33:15,B1428,CCA1369,4107.18,685.24,246,40.23799,116.21656
1595028799,2020-07-17 23:33:19,B1428,CCA1369,4152.9,685.24,246,40.23799,116.21656
1595028804,2020-07-17 23:33:24,B1428,CCA1369,4221.48,685.24,246,40.23799,116.21656
1595028811,2020-07-17 23:33:31,B1428,CCA1369,4335.78,694.5,234,40.23799,116.21656
1595028815,2020-07-17 23:33:35,B1428,CCA1369,4358.64,694.5,234,40.23799,116.21656
1595028821,2020-07-17 23:33:41,B1428,CCA1369,4457.7,700.056,232,40.23799,116.21656
1595028830,2020-07-17 23:33:50,B1428,CCA1369,4572.0,703.76,232,40.19506,116.13017
1595028842,2020-07-17 23:34:02,B1428,CCA1369,4686.3,709.316,231,40.18185,116.10901
1595028857,2020-07-17 23:34:17,B1428,CCA1369,4846.32,716.724,231,40.16946,116.08941
1595028862,2020-07-17 23:34:22,B1428,CCA1369,4960.62,716.724,231,40.16946,116.08941
1595028866,2020-07-17 23:34:26,B1428,CCA1369,4991.1,718.576,231,40.16946,116.08941
1595028877,2020-07-17 23:34:37,B1428,CCA1369,5151.12,722.28,231,40.1392,116.04172
1595028891,2020-07-17 23:34:51,B1428,CCA1369,5311.14,729.688,231,40.12919,116.02586
1595028902,2020-07-17 23:35:02,B1428,CCA1369,5425.44,733.392,231,40.1104,115.99622
1595028916,2020-07-17 23:35:16,B1428,CCA1369,5585.46,740.8,231,40.10687,115.99066
1595028922,2020-07-17 23:35:22,B1428,CCA1369,5638.8,740.8,231,40.10687,115.99066
1595028926,2020-07-17 23:35:26,B1428,CCA1369,5669.28,748.208,231,40.08213,115.95152
1595028941,2020-07-17 23:35:41,B1428,CCA1369,5829.3,751.912,231,40.06444,115.92349
1595028956,2020-07-17 23:35:56,B1428,CCA1369,5951.22,763.024,231,40.04801,115.89752
1595028976,2020-07-17 23:36:16,B1428,CCA1369,6012.18,757.468,231,40.02557,115.86212
1595028991,2020-07-17 23:36:31,B1428,CCA1369,6065.52,755.616,231,40.0074,115.8335
1595029003,2020-07-17 23:36:43,B1428,CCA1369,6210.3,751.912,231,39.99089,115.80751
1595029018,2020-07-17 23:36:58,B1428,CCA1369,6400.8,755.616,231,39.97778,115.7868
1595029034,2020-07-17 23:37:14,B1428,CCA1369,6598.92,757.468,231,39.95285,115.74758
1595029037,2020-07-17 23:37:17,B1428,CCA1369,6644.64,761.172,231,39.95285,115.74758
1595029048,2020-07-17 23:37:28,B1428,CCA1369,6743.7,766.728,231,39.93768,115.72374
1595029051,2020-07-17 23:37:31,B1428,CCA1369,6743.7,768.58,231,39.93768,115.72374
1595029063,2020-07-17 23:37:43,B1428,CCA1369,6903.72,772.284,231,39.91943,115.69501
1595029083,2020-07-17 23:38:03,B1428,CCA1369,7162.8,779.692,231,39.8935,115.65436
1595029097,2020-07-17 23:38:17,B1428,CCA1369,7391.4,774.136,231,39.87325,115.6228
1595029108,2020-07-17 23:38:28,B1428,CCA1369,7543.8,770.432,231,39.86222,115.60547
1595029121,2020-07-17 23:38:41,B1428,CCA1369,7604.76,779.692,231,39.86222,115.60547
1595029132,2020-07-17 23:38:52,B1428,CCA1369,7749.54,779.692,231,39.83231,115.55856
1595029143,2020-07-17 23:39:03,B1428,CCA1369,7863.84,792.656,231,39.8267,115.5498
1595029149,2020-07-17 23:39:09,B1428,CCA1369,7901.94,796.36,231,39.8267,115.5498
1595029163,2020-07-17 23:39:23,B1428,CCA1369,8054.34,796.36,231,39.79155,115.49493
1595029174,2020-07-17 23:39:34,B1428,CCA1369,8176.26,803.768,232,39.77802,115.47312
1595029188,2020-07-17 23:39:48,B1428,CCA1369,8343.9,798.212,237,39.76818,115.45551
1595029204,2020-07-17 23:40:04,B1428,CCA1369,8542.02,792.656,241,39.74597,115.40899
1595029215,2020-07-17 23:40:15,B1428,CCA1369,8694.42,790.804,244,39.74351,115.40295
1595029220,2020-07-17 23:40:20,B1428,CCA1369,8740.14,790.804,244,39.74351,115.40295
1595029235,2020-07-17 23:40:35,B1428,CCA1369,8831.58,805.62,243,39.71938,115.34176
1595029249,2020-07-17 23:40:49,B1428,CCA1369,8938.26,814.88,243,39.70426,115.30371
1595029264,2020-07-17 23:41:04,B1428,CCA1369,9105.9,816.732,243,39.68932,115.26605
1595029281,2020-07-17 23:41:21,B1428,CCA1369,9220.2,824.14,243,39.6785,115.2387
1595029295,2020-07-17 23:41:35,B1428,CCA1369,9441.18,818.584,243,39.66656,115.20874
1595029298,2020-07-17 23:41:38,B1428,CCA1369,9486.9,818.584,243,39.66656,115.20874
1595029310,2020-07-17 23:41:50,B1428,CCA1369,9700.26,809.324,243,39.66656,115.20874
1595029324,2020-07-17 23:42:04,B1428,CCA1369,9951.72,794.508,243,39.63524,115.13063
1595029336,2020-07-17 23:42:16,B1428,CCA1369,10172.7,794.508,243,39.62354,115.10107
1595029350,2020-07-17 23:42:30,B1428,CCA1369,10469.88,761.172,243,39.61502,115.0799
1595029365,2020-07-17 23:42:45,B1428,CCA1369,10713.72,738.948,243,39.6019,115.0473
1595029369,2020-07-17 23:42:49,B1428,CCA1369,10767.06,738.948,243,39.6019,115.0473
1595029374,2020-07-17 23:42:54,B1428,CCA1369,10820.4,738.948,243,39.6019,115.0473
1595029388,2020-07-17 23:43:08,B1428,CCA1369,10942.32,738.948,243,39.58516,115.00506
1595029400,2020-07-17 23:43:20,B1428,CCA1369,10995.66,720.428,243,39.57778,114.98657
1595029416,2020-07-17 23:43:36,B1428,CCA1369,11010.9,731.54,243,39.56312,114.94983
1595029430,2020-07-17 23:43:50,B1428,CCA1369,11003.28,729.688,243,39.54971,114.91632
1595029434,2020-07-17 23:43:54,B1428,CCA1369,11003.28,729.688,243,39.54971,114.91632
1595029446,2020-07-17 23:44:06,B1428,CCA1369,11003.28,725.984,243,39.53462,114.87878
1595029460,2020-07-17 23:44:20,B1428,CCA1369,11003.28,725.984,243,39.52425,114.85315
1595029475,2020-07-17 23:44:35,B1428,CCA1369,11003.28,722.28,243,39.51368,114.82709
